Código MTE,Período,Estoque,Admissões,Desligamentos,Saldos,Variação Relativa (%),Nome,Latitude,Longitude,Código IBGE,ID Reg. Adm.,Apelido Reg. Adm.,Rotatividade
354320,Outubro/2020,631.0,6,11,-5,-0.79,Ribeirão do Sul,-22.789,-49.933,3543204,8,Marília,0.01347068145800317
354323,Outubro/2020,87.0,0,3,-3,-3.33,Ribeirão dos Índios,-21.8382,-51.6103,3543238,9,Presidente Prudente,0.017241379310344827
354325,Outubro/2020,307.0,4,2,2,0.66,Ribeirão Grande,-24.1011,-48.3679,3543253,7,Itapeva,0.009771986970684038
354330,Outubro/2020,18539.0,630,503,127,0.69,Ribeirão Pires,-23.7067,-46.4058,3543303,15,São Paulo,0.030557203732671664
354340,Outubro/2020,216879.0,9341,7211,2130,0.99,Ribeirão Preto,-21.1699,-47.8099,3543402,11,Ribeirão Preto,0.038159526740717174
354350,Outubro/2020,481.0,11,24,-13,-2.63,Riversul,-23.829,-49.428999999999995,3543501,7,Itapeva,0.036382536382536385
354360,Outubro/2020,909.0,70,26,44,5.09,Rifaina,-20.0803,-47.4291,3543600,6,Franca,0.052805280528052806
354370,Outubro/2020,1444.0,17,40,-23,-1.57,Rincão,-21.5894,-48.0728,3543709,1,São Carlos,0.019736842105263157
354380,Outubro/2020,1536.0,25,29,-4,-0.26,Rinópolis,-21.7284,-50.7239,3543808,8,Marília,0.017578125
354390,Outubro/2020,60959.0,2685,2209,476,0.79,Rio Claro,-22.3984,-47.5546,3543907,5,Campinas,0.040141734608507354
354400,Outubro/2020,8987.0,246,296,-50,-0.55,Rio das Pedras,-22.8417,-47.6047,3544004,5,Campinas,0.030154667853566262
354410,Outubro/2020,2548.0,75,74,1,0.04,Rio Grande da Serra,-23.7437,-46.3971,3544103,15,São Paulo,0.02923861852433281
354420,Outubro/2020,576.0,15,15,0,0.0,Riolândia,-19.9868,-49.6836,3544202,13,São José do Rio Preto,0.026041666666666668
354425,Outubro/2020,1652.0,42,29,13,0.79,Rosana,-22.5782,-53.0603,3544251,9,Presidente Prudente,0.02148910411622276
354430,Outubro/2020,1833.0,74,41,33,1.83,Roseira,-22.8938,-45.306999999999995,3544301,14,São José dos Campos,0.03136933987997818
354440,Outubro/2020,526.0,6,6,0,0.0,Rubiácea,-21.3006,-50.7296,3544400,2,Araçatuba,0.011406844106463879
