Código MTE,Período,Estoque,Admissões,Desligamentos,Saldos,Variação Relativa (%),Nome,Latitude,Longitude,Código IBGE,ID Reg. Adm.,Apelido Reg. Adm.
355480,Junho/2020,4571.0,59,94,-35,-0.76,Tremembé,-22.9571,-45.5475,3554805,14,São José dos Campos
355490,Junho/2020,344.0,5,14,-9,-2.55,Três Fronteiras,-20.2344,-50.8905,3554904,13,São José do Rio Preto
355495,Junho/2020,675.0,4,11,-7,-1.03,Tuiuti,-22.8193,-46.6937,3554953,5,Campinas
355500,Junho/2020,13673.0,320,284,36,0.26,Tupã,-21.9335,-50.5191,3555000,8,Marília
355510,Junho/2020,1902.0,27,39,-12,-0.63,Tupi Paulista,-21.3825,-51.575,3555109,9,Presidente Prudente
355520,Junho/2020,107.0,0,0,0,0.0,Turiúba,-20.9428,-50.1135,3555208,2,Araçatuba
355530,Junho/2020,132.0,2,1,1,0.76,Turmalina,-20.0486,-50.4792,3555307,13,São José do Rio Preto
355535,Junho/2020,1273.0,10,151,-141,-9.97,Ubarana,-21.165,-49.7198,3555356,13,São José do Rio Preto
355540,Junho/2020,16063.0,215,348,-133,-0.82,Ubatuba,-23.4332,-45.0834,3555406,14,São José dos Campos
355550,Junho/2020,1448.0,102,15,87,6.39,Ubirajara,-22.5272,-49.6613,3555505,4,Bauru
355560,Junho/2020,838.0,39,37,2,0.24,Uchoa,-20.9511,-49.1713,3555604,13,São José do Rio Preto
355570,Junho/2020,147.0,3,18,-15,-9.26,União Paulista,-20.8862,-49.9025,3555703,13,São José do Rio Preto
355580,Junho/2020,992.0,12,7,5,0.51,Urânia,-20.2455,-50.6455,3555802,13,São José do Rio Preto
355590,Junho/2020,89.0,1,1,0,0.0,Uru,-21.7866,-49.2848,3555901,4,Bauru
355600,Junho/2020,2783.0,59,52,7,0.25,Urupês,-21.2032,-49.2931,3556008,13,São José do Rio Preto
355610,Junho/2020,2157.0,68,77,-9,-0.42,Valentim Gentil,-20.4217,-50.0889,3556107,13,São José do Rio Preto
355620,Junho/2020,42334.0,1023,1514,-491,-1.15,Valinhos,-22.9698,-46.9974,3556206,5,Campinas
355630,Junho/2020,5748.0,81,99,-18,-0.31,Valparaíso,-21.2229,-50.8699,3556305,2,Araçatuba
355635,Junho/2020,941.0,23,30,-7,-0.74,Vargem,-22.887,-46.4124,3556354,5,Campinas
355640,Junho/2020,6458.0,215,150,65,1.02,Vargem Grande do Sul,-21.8322,-46.8913,3556404,5,Campinas
355645,Junho/2020,10401.0,221,227,-6,-0.06,Vargem Grande Paulista,-23.5993,-47.022,3556453,15,São Paulo
355650,Junho/2020,15976.0,287,365,-78,-0.49,Várzea Paulista,-23.2136,-46.8234,3556503,5,Campinas
